Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON
3da17df9-877f-6d12-a58e-4975bfb18483,1933-03-13,2019-03-25,999-76-6487,S99995921,X8666465X,Ms.,Kina737,Kirlin939,,,S,white,nonhispanic,F,Brockton  Massachusetts  US,642 Jerde Quay Unit 79,Quincy,Massachusetts,Norfolk County,25021.0,2169,42.24099154422709,-71.00820882411482
234a2a89-50d4-7dc3-8df5-7ee769371011,1973-06-20,,999-19-5365,S99989161,X58011063X,Mr.,Calvin845,McGlynn426,,,S,white,nonhispanic,M,Everett  Massachusetts  US,440 Oberbrunner Street Suite 7,Framingham,Massachusetts,Middlesex County,25017.0,1701,42.347023206252345,-71.43871640116116
b48a710b-76af-08ab-e01d-e6a193657496,1941-03-01,,999-55-8967,S99999592,X6554989X,Mrs.,Monnie762,Pagac496,,Romaguera67,M,black,nonhispanic,F,Boston  Massachusetts  US,631 Reinger Park Suite 14,Lynn,Massachusetts,Essex County,25009.0,1904,42.52149751134935,-71.00400438550467
cb026290-20ed-b6e0-059f-498dadc369ec,1955-12-08,2020-05-31,999-28-4634,S99971501,X23558977X,Mr.,Ulysses632,Tillman293,,,S,white,nonhispanic,M,Duxbury  Massachusetts  US,802 Weimann Vale,Worcester,Massachusetts,Worcester County,25027.0,1608,42.31195573053984,-71.82889694970585
e85a1bbc-f0a0-dec8-3f1c-9dacadffd21d,1960-12-15,,999-87-5463,S99922503,X54693900X,Mr.,Alphonso102,Stracke611,,,M,black,nonhispanic,M,Boston  Massachusetts  US,600 Cremin Trafficway,Webster,Massachusetts,Worcester County,25027.0,1570,41.99848611209954,-71.86904655712293
a90befa1-5272-8e7c-7350-ee680a771dea,1913-09-09,2002-04-22,999-11-9473,S99954960,X24149311X,Mr.,Ashley34,Champlin946,,,M,white,nonhispanic,M,Lynn  Massachusetts  US,382 Borer Key,Attleboro,Massachusetts,Bristol County,44007.0,2861,41.92474647901455,-71.26798233731503
65c02e68-d56d-4667-e569-e95a5bfc8aa8,1953-02-05,,999-26-3942,S99922179,X40292476X,Mr.,Jonas187,Rolfson709,,,W,white,nonhispanic,M,North Attleborough  Massachusetts  US,236 Thompson Key,North Adams,Massachusetts,Berkshire County,25003.0,1247,42.6503279409181,-73.06918465951195
4c11343b-d02d-c191-1eeb-d22b09ac7581,1913-09-09,2010-10-22,999-33-2794,S99951670,X80106548X,Mr.,Scott935,Douglas31,,,M,white,nonhispanic,M,Beverly  Massachusetts  US,372 Morar Dale,Attleboro,Massachusetts,Bristol County,25005.0,2703,41.93215191887725,-71.32742408531641
25b07013-eff0-ce3b-e974-2bd994ce2b1c,1943-10-31,2022-12-10,999-47-5865,S99912909,X62355925X,Mrs.,Candida654,Fritsch593,,Kassulke119,M,asian,nonhispanic,F,Incheon  Incheon  KR,350 Altenwerth Key,Springfield,Massachusetts,Hampden County,25013.0,1199,42.143576973503386,-72.61888029572037
21c3de24-7877-e089-776d-effcf50cc1c2,1953-01-27,1997-12-04,999-12-2007,S99979273,X27146121X,Mr.,Branden904,Farrell962,,,S,white,nonhispanic,M,Swampscott  Massachusetts  US,935 Batz Overpass,Holbrook,Massachusetts,Norfolk County,25021.0,2368,42.176113031317605,-70.99984830145625
c3fe3cfc-2707-2f53-e94f-82f9170bdbfb,1913-09-09,,999-75-8579,S99917985,X2536203X,Mr.,Perry780,Hirthe744,,,M,white,nonhispanic,M,Malden  Massachusetts  US,343 Frami Forge,Attleboro,Massachusetts,Bristol County,44007.0,2861,41.96438692044133,-71.25464914824711
15621a1a-ab5a-6c8a-622e-45f3b38aed47,1955-01-18,,999-54-3352,S99947157,X56891930X,Mr.,Nathan164,Hermann103,,,S,white,nonhispanic,M,Belmont  Massachusetts  US,663 Crona Manor,Monument Beach,Massachusetts,Barnstable County,25001.0,2553,41.74116809315724,-70.6304393994073
