Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
8911a394-2a4d-990b-9e43-10f376c48d2e,2007-11-22,,999-41-7294,S99991694,,,Leonida214,Pfannerstill264,,,,white,nonhispanic,F,Haverhill  Massachusetts  US,684 Renner Bypass,Milford,Massachusetts,Worcester County,25027,01757,42.17207610978209,-71.51024136363155,25922.43,672442.99,67214
cc35bb0d-6010-28d5-1e19-493d0fdad3b9,2003-06-12,,999-76-5493,S99954124,X39894811X,Ms.,Kris249,Howell947,,,,asian,nonhispanic,F,Haverhill  Massachusetts  US,468 Schaefer Lock,Amherst,Massachusetts,Hampshire County,,00000,42.36796823177371,-72.47026495723331,52468.80,177024.79,93779
df228009-43b7-f853-ca6c-8c0499b53e9d,1983-10-10,2007-05-17,999-90-8883,S99925309,X81331013X,Mr.,Marty115,Murazik203,,,,white,nonhispanic,M,Oxford  Massachusetts  US,511 Dooley Walk Suite 13,Worcester,Massachusetts,Worcester County,25027,01602,42.2689518105425,-71.75214948189675,27779.75,22151.13,51551
b7485331-ed92-a923-b2aa-b939e6bea3cd,2005-11-30,,999-84-1890,S99926978,,Ms.,Blanca837,Zepeda235,,,,white,hispanic,F,Havana  Havana  CU,346 Bechtelar View Apt 8,Walpole,Massachusetts,Norfolk County,25021,02081,42.12570111593411,-71.23407874284645,58720.51,0.00,119813
7024694b-8896-9575-ff40-7f7c5e547b14,2001-05-05,,999-57-1626,S99966762,X14552593X,Ms.,Thresa531,Wyman904,,,,black,nonhispanic,F,Cordaville  Massachusetts  US,352 Keeling Annex,Westborough,Massachusetts,Worcester County,25027,01581,42.273311321942295,-71.61499381470263,80591.13,295210.02,171472
316ffd4e-b69e-b1a7-5a7e-5dfe18a6e04c,1993-05-14,,999-48-7031,S99913963,X80548806X,Mr.,Edwardo860,Heaney114,,,M,white,nonhispanic,M,Springfield  Massachusetts  US,283 Greenholt Dale Apt 31,White Island Shores,Massachusetts,Plymouth County,,00000,41.77679103084174,-70.68283926885425,407092.63,345656.08,71364
4d849313-7805-9a57-8edd-8a9d38f15d29,1995-10-29,,999-20-4529,S99954500,X14336087X,Ms.,Vinnie529,Hettinger594,,,S,white,nonhispanic,F,Burlington  Massachusetts  US,303 Jenkins Wall Suite 14,Forestdale,Massachusetts,Barnstable County,25001,02644,41.67381056861356,-70.52263439877552,89111.33,259151.35,97744
e0b6cdfd-78e4-aead-1623-5aee8b888e31,1983-01-10,,999-40-5146,S99930952,X31410800X,Mrs.,Gloria696,Molina998,,Ulloa39,D,white,hispanic,F,Caracas  Capital District  VE,227 Medhurst Lodge Suite 77,Newton,Massachusetts,Middlesex County,25017,02459,42.275820856304094,-71.16011220876894,265626.01,338860.90,91176
43c9d2bd-2b48-636c-b593-67ff5b17ef07,1964-04-27,2003-09-16,999-74-5287,S99924827,X79852393X,Mrs.,Karena692,Oberbrunner298,,Littel644,M,white,nonhispanic,F,Abington  Massachusetts  US,645 Bernier Estate Suite 48,Northborough,Massachusetts,Worcester County,25027,01532,42.28604127700424,-71.64153728117648,109954.58,594600.86,138473
cf2bf7dc-2b14-a027-3a77-bb3813883dc8,1979-08-28,1988-05-29,999-70-7713,,,,Corliss645,Cummings51,,,,white,nonhispanic,F,Granby  Massachusetts  US,645 Yundt Approach Unit 55,Worcester,Massachusetts,Worcester County,25027,01607,42.2311526426384,-71.84915342949866,139531.38,418172.47,35722
b5af64d8-c96f-a1d6-6b59-9d122a4d4ccf,1981-12-28,,999-60-7073,S99969685,X66044330X,Mrs.,Danielle72,Kilback373,,Anderson154,M,asian,nonhispanic,F,Busan  Busan  KR,543 Fay Village,Lowell,Massachusetts,Middlesex County,25017,01854,42.61371605180764,-71.31490310330076,11876.78,1164608.15,13019
fa1cd0a3-45da-90ea-9884-fd6fac2f89d2,2007-06-20,,999-59-5122,S99981183,,,Fernando603,Hayes766,,,,white,nonhispanic,M,Billerica  Massachusetts  US,566 Lubowitz Throughway Suite 98,Methuen,Massachusetts,Essex County,25009,01844,42.72634600118662,-71.20822235288486,22572.13,1807.50,36801
52daeb51-00d4-aee7-accb-f254cd7d5f79,1973-03-09,,999-82-9292,S99925478,X6046512X,Mr.,Tracy345,Ratke343,,,D,white,nonhispanic,M,Woburn  Massachusetts  US,749 O'Hara Overpass Unit 7,Boston,Massachusetts,Suffolk County,25025,02199,42.31480387958294,-71.11429554487424,54530.73,112216.59,189580
110cf16f-4d05-1be9-8a5a-ce6892f317b3,1978-08-26,,999-13-9117,S99956742,X17731184X,Mrs.,Julieann172,Jast432,,Spinka232,M,white,nonhispanic,F,Plympton  Massachusetts  US,610 Douglas Drive,Lawrence,Massachusetts,Essex County,25009,01841,42.713390594872315,-71.14809344277263,9847.49,434132.50,19365
5951a830-a7f8-787f-b643-4b0cb616184d,1983-10-10,,999-75-3549,S99913854,X31688088X,Mr.,Terrell212,Baumbach677,,,M,white,nonhispanic,M,Bedford  Massachusetts  US,664 Corwin Village,Worcester,Massachusetts,Worcester County,25027,01607,42.24098328684587,-71.77588614843276,66906.85,0.00,51551
414cbddd-9b11-0dd0-632b-be5dfa363bdd,1976-12-28,2005-08-30,999-51-1564,S99972214,X78196874X,Mr.,Emmitt44,Batz141,,,M,white,nonhispanic,M,Ware  Massachusetts  US,175 Ullrich Course,Revere,Massachusetts,Suffolk County,25025,02151,42.3724026724566,-70.98786194349076,144673.78,0.00,71184
e511c0ff-f606-8fef-2999-052f2e5bb974,2010-01-31,,999-59-3260,,,,Elias404,Herzog843,,,,white,nonhispanic,M,Blackstone  Massachusetts  US,1014 Harber Dam,Lynn,Massachusetts,Essex County,25009,01906,42.51837517235617,-71.01044532220774,62056.97,0.00,42088
812407f4-f764-7d06-2394-d4b28563c860,1989-12-28,,999-83-6668,S99942653,X66493881X,Mr.,Conrad619,Stoltenberg489,,,M,white,nonhispanic,M,Woburn  Massachusetts  US,205 McClure Camp Apt 15,Brockton,Massachusetts,Plymouth County,25023,02301,42.07853298231039,-70.97948488727964,33424.61,2270.24,99599
09c70adb-084d-493b-5c0b-bf4f69712c17,2004-10-26,,999-69-7936,S99936103,,Mr.,Alton320,Towne435,,,,white,nonhispanic,M,Tyngsborough  Massachusetts  US,900 Lesch Route Apt 12,Chicopee,Massachusetts,Hampden County,25013,01022,42.16655480407417,-72.5506403110862,26869.22,0.00,127800
3d6f8495-9fc3-b86b-c64b-bccb2ce5c607,1949-08-28,2015-12-22,999-27-5319,S99994331,X58817888X,Mr.,Deangelo7,Heller342,,,D,white,nonhispanic,M,Winthrop  Massachusetts  US,360 Feil Tunnel Apt 5,East Brookfield,Massachusetts,Worcester County,25027,01515,42.24193887558397,-72.04461201731942,79006.06,50647.91,128261
1ce19ed5-32b7-7060-6d0a-32587f82a730,1991-07-25,,999-36-6382,S99977513,X44160649X,Mr.,Jerold208,Weissnat378,,,M,white,nonhispanic,M,Salisbury  Massachusetts  US,357 Wintheiser Walk Unit 75,Sudbury,Massachusetts,Middlesex County,,00000,42.431121438756065,-71.4044167648106,80664.00,22633.80,236261
b5fc1712-f0a0-ab06-9319-7da807f07caa,1954-12-28,,999-92-6523,S99917466,X84055442X,Mr.,Kenny207,Schulist381,,,M,white,nonhispanic,M,Lawrence  Massachusetts  US,1078 Trantow Park,Oak Bluffs,Massachusetts,Dukes County,,00000,41.47005447416669,-70.52298405372304,146871.70,71789.84,86752
5c75fa54-de50-1ef1-0e6b-9184cc0a46eb,1958-04-17,,999-14-9046,S99964243,X58146489X,Mrs.,Lorina403,Miller503,,Turcotte120,W,white,nonhispanic,F,Westport  Massachusetts  US,384 Witting Port,Pepperell,Massachusetts,Middlesex County,25017,01463,42.68715736868115,-71.62191149107464,1052314.34,440259.09,84260
b22bc8ba-813f-faf4-7c2a-b16af0b3254f,1990-10-01,,999-26-8829,S99963658,X18531701X,Mr.,Moises22,Stokes453,,,M,white,nonhispanic,M,Plymouth  Massachusetts  US,516 Hermiston Plaza,Greenfield,Massachusetts,Franklin County,25011,01301,42.657796942120434,-72.59851273510951,5300.00,50598.91,18009
3f9a7222-8b6b-1ceb-3bd8-1429af7909b2,1974-10-25,,999-33-8398,S99983504,X84001484X,Mrs.,Ira784,Flatley871,,Waelchi213,M,white,nonhispanic,F,Somerville  Massachusetts  US,870 Bauch Gate,Harwich,Massachusetts,Barnstable County,,00000,41.74374357014858,-70.09097151772964,528720.31,396512.57,92334
d1806dd8-148e-1681-04e0-cef22cf6f84d,2007-09-25,,999-21-2011,S99933494,,,Wanita14,Parker433,,,,white,hispanic,F,Attleboro  Massachusetts  US,985 McLaughlin Loaf,Lawrence,Massachusetts,Essex County,25009,01840,42.73605206793825,-71.11339972536514,2900.00,34262.06,21949
5e4e71d9-e27a-8b52-cc42-028eb4781810,1979-08-28,,999-97-6719,S99969411,X80741294X,Mrs.,Delphine397,Batz141,,Stehr398,D,white,nonhispanic,F,Fall River  Massachusetts  US,625 Stehr Lane Suite 99,Worcester,Massachusetts,Worcester County,25027,01603,42.35042787341025,-71.75358417283987,477133.02,803728.00,35722
84f89ce7-f672-5a1d-2ebb-18be1deba422,1951-01-29,,999-65-7862,S99935564,X44882641X,Mr.,Deon400,Buckridge80,,,M,white,nonhispanic,M,Hopkinton  Massachusetts  US,704 Halvorson Corner,Waltham,Massachusetts,Middlesex County,25017,02472,42.320735051959275,-71.27072543029789,113181.11,78057.48,190847
df36dd24-433c-bc00-0d4e-f18f90467e9d,1995-01-27,,999-75-4197,S99939682,X82922200X,Mrs.,Dolores502,Armas910,,Rivas297,M,white,hispanic,F,Lima  Lima Province  PE,464 Nolan Bypass,Boston,Massachusetts,Suffolk County,25025,02113,42.37313784593117,-71.13391621384262,92254.69,213345.65,69961
4b69a344-499e-15e6-3b3b-aff87051ea63,2004-04-23,,999-74-9993,S99987456,,Ms.,Alishia395,Heller342,,,,white,nonhispanic,F,East Douglas  Massachusetts  US,247 Schaden Club,Westport,Massachusetts,Bristol County,,00000,41.616109382499644,-71.12690878312785,4700.00,51387.22,14959
17c788af-4985-5a26-fb9d-cca217ce690c,2016-01-19,,999-30-6182,,,,Agustin437,Boyle917,,,,black,nonhispanic,M,Hopkinton  Massachusetts  US,681 Ritchie Park,Springfield,Massachusetts,Hampden County,25013,01106,42.06980373251156,-72.50169162969448,16115.31,4141.42,47798
6cbb862d-c986-3b48-7ba0-e75e031c30ef,1963-04-03,,999-76-6828,S99948204,X34100291X,Mr.,Arnoldo445,Osinski784,,,W,asian,nonhispanic,M,Fitchburg  Massachusetts  US,270 Williamson Drive Suite 63,Billerica,Massachusetts,Middlesex County,,00000,42.591357280051334,-71.30363099936432,916254.79,28983.99,91643
